StopLoss,StopProfit,StartProfit,OpenCriteria,FollowTrend,Result
0.006,0,0.081,0.040,False,0.2784721476688579668642226774
0.006,0.01,0.081,0.040,False,0.2784721476688579668642226774
0.006,0.02,0.081,0.040,False,0.2784721476688579668642226774
0.006,0.03,0.081,0.040,False,0.2784721476688579668642226774
0.006,0.04,0.081,0.040,False,0.2784721476688579668642226774
0.006,0,0.082,0.040,False,0.2784721476688579668642226774
0.006,0.01,0.082,0.040,False,0.2784721476688579668642226774
0.006,0.02,0.082,0.040,False,0.2784721476688579668642226774
0.006,0.03,0.082,0.040,False,0.2784721476688579668642226774
0.006,0.04,0.082,0.040,False,0.2784721476688579668642226774
0.006,0.03,0.083,0.040,False,0.2784721476688579668642226774
0.006,0.04,0.083,0.040,False,0.2784721476688579668642226774
0.006,0,0.083,0.040,False,0.2784721476688579668642226774
0.006,0.01,0.083,0.040,False,0.2784721476688579668642226774
0.006,0.02,0.083,0.040,False,0.2784721476688579668642226774
0.006,0,0.084,0.040,False,0.2784721476688579668642226774
0.006,0.01,0.084,0.040,False,0.2784721476688579668642226774
0.006,0.02,0.084,0.040,False,0.2784721476688579668642226774
0.006,0.03,0.084,0.040,False,0.2784721476688579668642226774
0.006,0.04,0.084,0.040,False,0.2784721476688579668642226774
0.006,0,0.085,0.040,False,0.2784721476688579668642226774
0.006,0.01,0.085,0.040,False,0.2784721476688579668642226774
0.006,0.02,0.085,0.040,False,0.2784721476688579668642226774
0.006,0.03,0.085,0.040,False,0.2784721476688579668642226774
0.006,0.04,0.085,0.040,False,0.2784721476688579668642226774
0.006,0,0.081,0.039,False,0.2775288777529352830323530581
0.006,0.01,0.081,0.039,False,0.2775288777529352830323530581
0.006,0.02,0.081,0.039,False,0.2775288777529352830323530581
0.006,0.03,0.081,0.039,False,0.2775288777529352830323530581
0.006,0.04,0.081,0.039,False,0.2775288777529352830323530581
0.006,0,0.082,0.039,False,0.2775288777529352830323530581
0.006,0.01,0.082,0.039,False,0.2775288777529352830323530581
0.006,0.02,0.082,0.039,False,0.2775288777529352830323530581
0.006,0.03,0.082,0.039,False,0.2775288777529352830323530581
0.006,0.04,0.082,0.039,False,0.2775288777529352830323530581
0.006,0.03,0.083,0.039,False,0.2775288777529352830323530581
0.006,0.04,0.083,0.039,False,0.2775288777529352830323530581
0.006,0,0.083,0.039,False,0.2775288777529352830323530581
0.006,0.01,0.083,0.039,False,0.2775288777529352830323530581
0.006,0.02,0.083,0.039,False,0.2775288777529352830323530581
0.006,0,0.084,0.039,False,0.2775288777529352830323530581
0.006,0.01,0.084,0.039,False,0.2775288777529352830323530581
0.006,0.02,0.084,0.039,False,0.2775288777529352830323530581
0.006,0.03,0.084,0.039,False,0.2775288777529352830323530581
0.006,0.04,0.084,0.039,False,0.2775288777529352830323530581
0.006,0,0.081,0.038,False,0.2767728663931589926910017101
0.006,0.01,0.081,0.038,False,0.2767728663931589926910017101
0.006,0.02,0.081,0.038,False,0.2767728663931589926910017101
0.006,0.03,0.081,0.038,False,0.2767728663931589926910017101
0.006,0.04,0.081,0.038,False,0.2767728663931589926910017101
0.006,0,0.082,0.038,False,0.2767728663931589926910017101
0.006,0.01,0.082,0.038,False,0.2767728663931589926910017101
0.006,0.02,0.082,0.038,False,0.2767728663931589926910017101
0.006,0.03,0.082,0.038,False,0.2767728663931589926910017101
0.006,0.04,0.082,0.038,False,0.2767728663931589926910017101
0.006,0.03,0.083,0.038,False,0.2767728663931589926910017101
0.006,0.04,0.083,0.038,False,0.2767728663931589926910017101
0.006,0,0.083,0.038,False,0.2767728663931589926910017101
0.006,0.01,0.083,0.038,False,0.2767728663931589926910017101
0.006,0.02,0.083,0.038,False,0.2767728663931589926910017101
0.006,0,0.084,0.038,False,0.2767728663931589926910017101
0.006,0.01,0.084,0.038,False,0.2767728663931589926910017101
0.006,0.02,0.084,0.038,False,0.2767728663931589926910017101
0.006,0.03,0.084,0.038,False,0.2767728663931589926910017101
0.006,0.04,0.084,0.038,False,0.2767728663931589926910017101
0.006,0,0.081,0.037,False,0.2758261028870220350982614755
0.006,0.01,0.081,0.037,False,0.2758261028870220350982614755
0.006,0.02,0.081,0.037,False,0.2758261028870220350982614755
0.006,0.03,0.081,0.037,False,0.2758261028870220350982614755
0.006,0.04,0.081,0.037,False,0.2758261028870220350982614755
0.006,0,0.082,0.037,False,0.2758261028870220350982614755
0.006,0.01,0.082,0.037,False,0.2758261028870220350982614755
0.006,0.02,0.082,0.037,False,0.2758261028870220350982614755
0.006,0.03,0.082,0.037,False,0.2758261028870220350982614755
0.006,0.04,0.082,0.037,False,0.2758261028870220350982614755
0.006,0.03,0.083,0.037,False,0.2758261028870220350982614755
0.006,0.04,0.083,0.037,False,0.2758261028870220350982614755
0.006,0,0.083,0.037,False,0.2758261028870220350982614755
0.006,0.01,0.083,0.037,False,0.2758261028870220350982614755
0.006,0.02,0.083,0.037,False,0.2758261028870220350982614755
0.006,0,0.081,0.036,False,0.2748773901045701980375518355
0.006,0.01,0.081,0.036,False,0.2748773901045701980375518355
0.006,0.02,0.081,0.036,False,0.2748773901045701980375518355
0.006,0.03,0.081,0.036,False,0.2748773901045701980375518355
0.006,0.04,0.081,0.036,False,0.2748773901045701980375518355
0.006,0,0.082,0.036,False,0.2748773901045701980375518355
0.006,0.01,0.082,0.036,False,0.2748773901045701980375518355
0.006,0.02,0.082,0.036,False,0.2748773901045701980375518355
0.006,0.03,0.082,0.036,False,0.2748773901045701980375518355
0.006,0.04,0.082,0.036,False,0.2748773901045701980375518355
0.006,0,0.081,0.035,False,0.2741170123508869782907279708
0.006,0.01,0.081,0.035,False,0.2741170123508869782907279708
0.006,0.02,0.081,0.035,False,0.2741170123508869782907279708
0.006,0.03,0.081,0.035,False,0.2741170123508869782907279708
0.006,0.04,0.081,0.035,False,0.2741170123508869782907279708
0.013,0.01,0.088,0.040,False,0.2585337217037979629532178560
0.013,0.01,0.089,0.040,False,0.2585337217037979629532178560
0.013,0.01,0.090,0.040,False,0.2585337217037979629532178560
0.013,0.01,0.087,0.039,False,0.2576199326568038916309036255
0.013,0.01,0.088,0.039,False,0.2576199326568038916309036255
